source_id,verified,Publication date,Model,Organization,Country (of organization),Domain,Parameters,Training compute (FLOP),Training compute cost (2023 USD),Confidence,Frontier model,Open model weights?,Notability criteria
LEG1_EPOCH_NOTABLE_2024,true,2025-07-25,Qwen3-235B-A22B-Thinking (Jul 2025),Alibaba,China,Language,235000000000.0,4.752e+24,,Likely,,Yes,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2025-07-25,Qwen3-235B-A22B (Jul 2025),Alibaba,China,Language,235000000000.0,4.752e+24,,Likely,,Yes,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2025-08-05,gpt-oss-120b,OpenAI,United States of America,Language,116830000000.0,4.94e+24,,Confident,,Yes,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2025-08-05,gpt-oss-20b,OpenAI,United States of America,Language,20910000000.0,5.49e+23,,Confident,,Yes,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2025-08-05,GLM-4.5,"Z.ai (Zhipu AI),Tsinghua University","China,China",Language,355000000000.0,4.42e+24,,Confident,,Yes,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2025-08-07,GPT-5,OpenAI,United States of America,"Multimodal,Language,Vision",,6.6e+25,,Speculative,,No,"Significant use,Historical significance"
LEG1_EPOCH_NOTABLE_2024,true,2025-09-01,LongCat-Flash,Meituan Inc,China,Language,560000000000.0,3.726e+24,,Likely,,Yes,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2025-09-05,Qwen3-Max,Alibaba,China,Language,1000000000000.0,1.512e+25,,Speculative,,No,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2025-09-16,AgentFounder-30B,Alibaba,China,Language,30000000000.0,6.5367e+23,,Confident,,Yes,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2025-09-30,GLM-4.6,"Z.ai (Zhipu AI),Tsinghua University","China,China",Language,357000000000.0,4.42e+24,,Likely,,Yes,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2025-10-10,Ling-1T,Ant Group,China,Language,1000000000000.0,6.000001e+24,,Confident,,Yes,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2025-11-06,Kimi K2 Thinking,Moonshot,China,Language,1000000000000.0,4.2e+24,,Likely,,Yes,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2025-11-20,Olmo 3,Allen Institute for AI,United States of America,Language,32000000000.0,1.1e+24,,Confident,,Yes,SOTA improvement
LEG1_EPOCH_NOTABLE_2024,true,2025-12-15,Nemotron 3-Nano-30B-A3B,NVIDIA,United States of America,Language,31600000000.0,4.8e+23,,Likely,,Yes,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2025-12-22,GLM-4.7,Z.ai (Zhipu AI),China,Language,358000000000.0,4.42e+24,,Likely,,Yes,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2025-12-31,K-EXAONE,LG AI Research,Korea (Republic of),Language,236000000000.0,1.52e+24,,Confident,,No,Training cost
LEG1_EPOCH_NOTABLE_2024,true,2026-02-02,Kimi K2.5,Moonshot,China,Language,1040000000000.0,5.8e+24,,Likely,,Yes,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2026-02-17,GLM-5,Z.ai (Zhipu AI),China,Language,744000000000.0,6.84e+24,,Likely,,Yes,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2026-04-24,DeepSeek-V4-Pro,DeepSeek,China,Language,1600000000.0,9.702e+24,,Speculative,,Yes,Discretionary
LEG1_EPOCH_NOTABLE_2024,true,2026-04-24,DeepSeek-V4-Flash,DeepSeek,China,Language,284000000.0,2.496e+24,,Speculative,,Yes,Discretionary
